MerchantID,Description,nlp_risk_score
MID000001,Grocery and food delivery service,0.2721
MID000002,Healthcare and telemedicine billing,0.0392
MID000003,Fantasy sports and e-gaming platform,0.7295
MID000004,Digital marketing services payment,0.0952
MID000005,SaaS subscription billing platform,0.0
MID000006,Bitcoin and altcoin wallet service,0.9965
MID000007,Esports tournament and betting platform,0.6989
MID000008,Game subscription and pass service,1.0
MID000009,Fantasy sports and e-gaming platform,0.7295
MID000010,Professional services invoicing,0.4152
